query,label,classification
"Este fim-de-semana a caravana vai andar por aqui: - 10 Fev: VILA REAL - 11 Fev: COVILHÂ Bilhetes na FNAC,bilheteira _ https://t.co/C6ks5FIt96",0,0
"COMO VOTEI PSDC 27 EYMAEL, O DEMOCRATA CRISTÃO, (ZERO CITAÇÕES NA LAVA JATO) ESTOU COM A CONSCIÊNCIA TRANQUILA. SOU UM EXEMPLO DE DIGNIDADE.",0,0
  filha da maria do rosario              x                   filhos do jair bolsonaro em quem tu confia pra dar conselho de com _,1,0
"Fora que só tem frangas ali. Bombadinhos chiliquentos, gays que exploram suas condições e pedaços de carne para a massa carcerária!",1,1
"- Sapatão é só pros íntimos, pra você é senhora dona lésbica",1,1
Dois representantes do meu Top3 à conversa. Boa maneira de aquecer antes de escrever o meu novo set https://t.co/S8rnuv5ldt,0,0
  Eu sou contra a Eutanásia porque acho que a Europa não se deve misturar com outros continentes.,1,1
Mariel tem uma mania feia de ficar me chamando de gorda,1,1
E agora Ancelmo Goes (O Globo). Vai ou não ter Bolsonaro na Hebraica? https://t.co/wvnO69NgjM,0,0
" fico feliz!! sim, ela tem 15 anos e mora em santos. fiquei a tarde toda prourando algo mais, mas ela quase não existe.",0,0
CHEGOU DANDO CANTADA NO CARNAVAL: #CarnavalSemAssédio https://t.co/nR2SG157yr,0,0
SEXO-CHURRASCO-CERVEJA-DORMIR ! #carnavalem4palavras,0,0
  Foi assaltar e levou bala https://t.co/wgsMhOtxun,0,0
Qual é a dúvida? A Europa reage e cada vez serão mais! Azar para a máfia dos governantes traidores e da comunicação _ https://t.co/HC0fTIbxF4,1,0
" esse não era bandido, para a Felgueiras, era meigo.",1,1
 ter tempo pra cuidar da família é 'o grande problema' pra mulher ou pra qq pessoa que trabalha E tem filhos?,0,0
"  Quando o Secretário foi para o Real Madrid, o PdC teve de passar atender os telefones https://t.co/KSx4p0yVs6",0,0
"Oi, amores...        Vcs num tem noção da correriaaaa Aff Xeru",0,0
  Será que os barreirenses podem confiar em alguém que defende tamanha aberração!? Vamos entregar ao PS o destino do municí _,1,1
",,,,, os negros que estudem eu estudei  ,,,,,,,,,",1,1
'Eles que praticam o Islao',1,1
"'DIZ IMPRENSA'  Sério, isso já passou dos limites. Vocês têm noção do quão ridícula é essa perseguição a alguém qu _ https://t.co/pcLHJitGaw",0,0
É sério que a  vai chamar a Polícia Federal  ?? https://t.co/B1vo0QChKL,0,0
"Afinal a Constituição da República feita por estes senhores, serve para quê? É para ser violada? https://t.co/JuaODQaZmS",1,0
"não! 1 coisa ñ elimina a outra!    ain menina tenho entrevista d emprego semana que vem, vou sair da prostituição #rs",1,0
"16:18 AMADO BATISTA TIRA O 38 DA CINTURA DÁ 3 TIROS PRO ALTO E GRITA 'BOLSONARO 2.018' MUITOS APLAUSOS, ALGUMAS VAIAS",0,0
quando é que a dilma cai pra eu poder viajar pra miami de nv?,1,0
  O PODER EMANA DO POVO A PM TAMBÉM É POVO BRASILEIRO  https://t.co/o3wiRZhKwO,0,0
Acho que vou pegar carona com a  e mimir,0,0
"Devem estar invertidos esses dados. Aqui arma é proibido, lá q é liberado e só tem louco. https://t.co/C8BzVbCix1",0,0
  Se vc pensa em NÃO PRENDER BANDIDO por causa de crise presidiária é pq vc é um CRETINO FILHA DA PUTA que não pensa no trab _,1,1
DEFINITIVAMENTE O MELHOR LUGAR PARA CUIR O CARNAVAL 2.017 https://t.co/mX0fMUGbeB,0,0
 eu sou um unicornio,0,0
“Rapefugees”: já começa em Portugal _ https://t.co/2yUoW99sPV#Refugees #Refugiados #Portugal,0,0
"#LittleMix VC q por  acaso acha q Jesy é feia, gorda, se parece com a mulher do Chuck VC esta cego com problemas me _ https://t.co/oiIN74x12O",0,1
" essa mesmo, a que nos permite evoluir!",0,0
"  Não tem lei no ocidente q obrigue mulher a usar véu, burca, esses panos todos, ela não é obrigada. Cada um q diga o q quiser.",0,1
"Em evento no Palácio do Planalto em homenagem ao Dia Internacional da Mulher, o presidente Michel Temer cometeu... https://t.co/8JjG2vRO2e",0,0
VOCÊ CRIOU BEM SEU FILHO PARABÉNS  #JoaquinResponde https://t.co/zWLta8ahTr,0,0
"  liga não mano , claro que ela tem carimbo no passaporte rs .. Ela veio p brasil refugiada da angola kkk",1,0
Leiam e compartilhem!  Precisamos nos unir contra o socialismo.  O momento é agora ou nunca mais. https://t.co/2qIIkleV5i,1,0
  #SouPobreMas tenho juízo... não voto no Lula.,0,0
chateada q o meu fechamento é vc mozao tá saindo da moda e eu não consegui fala isso pra ninguém,0,0
"  Pode ser feia, pode ser gorda, só não pode ser feia e gorda.",1,1
"'where are you from'  'Angola' 'olá, não sabia que eras português' https://t.co/rbeCS5Xorl",0,1
isso quer dizer que já estou atrasada para começar a me arrumar,0,0
"  Na administração Obama é que era, havia respeito e educação e nunca por nunca, se colocava os pés em cima da mobília. htt _",0,0
Ate aqui essa gente do rio branco me perseguido,1,0
O PNR e o Dia de Portugal https://t.co/w6Kf1KGo4M#RenovarPortugal #PNR #Portugal https://t.co/VxGV1feTrq,0,0
 Novo filme: 'O Curioso Caso de Quem Sempre Atacou A Igreja Católica e o Cristianismo Mas Agora Defende o Papa Francisco',0,1
" Matéria sobre o #idolos no Fqte. mto bom o programa,neam? Tenho que ver mais! Parabéns provcestudo. #amoteucabelo",0,0
"Argumento: 'tu é burro' não refuta nada do que falei com fatos , lógica e verdade! VocÊ vive e se esconde dentro de _ https://t.co/tcg0ThD0Ak",1,0
Um novo dia é uma página em branco na sua vida. Escreva apenas o que vale a pena! Bom dia,0,0
  qnd eu me arrependo da mensagem que mandei https://t.co/vigF49qJZn,0,0
"  12- estou falando de empresários e grupos milionários, que se beneficiam de financiamentos que, a meu ver, deveriam se _",1,0
"Minha mae me proibiu de andar com meus amigos que usam drogas, agora vou vender pra quem???",1,0
"vsf mano, eu fico perplexo de ver umas desgraça apoiar umas coisas tão absurdas, um dia é negro falando que quem salvou o negro foi o branco",1,0
*numa conversa normal sobre uma amiga minha* Mae: 'mas tu só te dás com fufas e bis porquê?'  ://,1,1
Se for em idade certa porquê não https://t.co/z3KjdT6alK,0,0
Deu acidente aqui na esquina de casa e só da pra ouvir os pedreiros gritando chamando a mulher de burra kkkkkkk,1,1
"  vai se fude os cara quer retratar jesus e retrata o cara branco, de cabelo sedoso olho azul etc o cara nasceu no oriente médio _",1,1
PASSEIII EM MANAUSSS!!!!!!! OBRIGADO MEU DEUS! http://t.co/gKuQ17zIlJ,0,0
"  Segundo turno: Alckmin vs Bolsonaro Alckmin: Vc é homofóbico Bolsonaro: não sou não, tô aqui falando com vc",0,1
  Levy Fidelix pode pagar 25 trilhões e o aparelho excretor vai continuar igual,0,0
  Meu Deus!! Que catracada do  no  Quis lacrar e se fodeu! https://t.co/p9CzFS1rlc,0,1
'Emirados Árabes querem ir a Marte e construir uma 'Dubai' lá até 2117'  -UOL  Por que não usam essa grana para ajudar os refugiados irmãos?,1,0
"Minha mãe queria q eu procurasse uma mulher no Facebook e essa foi a descrição: Ela é baixinha, gorda e tem a cara bem feia. Tô chorando",0,1
O Ocidente suicida-se. Os governantes são os primeiros culpados. Portugal não é excepção. https://t.co/ARSJeiorPe,0,0
O que é o Globalismo? - Lauren Southern Muita gente ainda não compreende.... https://t.co/mg2bBTXGQZ,0,0
Presidente  em entrevista ao Jornal I #RenovarPortugal #PNR #Portugal #JoséPintoCoelho https://t.co/QYAgloslVG,0,0
" Hahahaha, deixa comigo! :D",0,0
   a realidade costuma arder nos olhos de quem se esquiva,0,0
" OI! Sugeri um JV e ninguém me deu bola... tá afim? vc te mais moral que eu, vem mais gente. rsrsrs",0,0
  Isto faz tanto sentido como dizer q angola não é uma colônia https://t.co/EuY2GjaXlG,1,0
"  não..só as feministas, como na figura...",0,1
#NaoAceitamosRefugiados A Imprensa preocupa-se tanto com refugiados mas nao lembra os cristaos perseguidos e mortos no Oriente Medio,0,0
O  adora passar uma vergonha https://t.co/VL6Fv63JbD,0,0
  Façam zoom no pescoço do Éder https://t.co/1EbyFKcxvy,0,0
"Então, o socialismo produz refugiados. O socialismo não falha. https://t.co/E7iM31S3CJ",1,0
Já imaginaram como seria se o Aécio tivesse vencido a jumenta em 2014?,0,0
"A mídia de NOTÍCIAS FALSAS (os falidos      não é minha inimiga, mas sim inimiga d _ https://t.co/4rVCartdzd",0,0
    parabéns pelo artigo. Temos q ficar de olho aberto com esses esquerdopatas.,1,1
' vai ao Líbano ajudar refugiados' O mesmo q fechou uma praia em Angra e fez dela propriedade privada pra pobrezada não entrar,0,1
"O texto todo é aquela velha ladainha 'feminismo de verdade era aquele do passado, hoje em dia blablabla'. Deslegitimação básica.",0,1
 vc fica gostosa até burca ou hábito(não lembro se  assim que escreve a roupa das freira)kkkkkk,1,0
"tem mão de homem, ou seja, com calos.",1,0
  nunca disse q héteros são santos...,0,1
"  queria comer polvo, mas o da copa gerou apego",0,0
"Oieeee, amoresss! Tô mtooo emocionadaaaa! MINHA SOBRINHA LINDAAA NASCEUUU! Parabéns Kilma e Lipe. Mano, te amo! Bem vinda, Karol! #renovacao",0,0
  Começou os meme https://t.co/wwadFAyoyy,0,0
  quem é playboy safado fortalece no ,1,1
"Luana foi morta ao solicitar que fosse revistada por uma policial mulher, o que era um direito dela. O caso foi... https://t.co/2W2KWnbQOC",0,0
"Atenção: segundo esse 'jênio' a violência contra a mulher no Brasil se dá pelo fato do país ser de maioria cristã, _ https://t.co/i3Pa8oFnd3",1,0
"'Ah você não tem dó dos presidiários' Deles não tenho mesmo não, tenho das vítimas que fazem.",0,0
  Tadinho dele faltou oportunidade  Tentou só 4 vezes roubar casa gente Pais da chacina e do massacre https://t.co/qk8pL0GTlO,1,0
  já ganhou https://t.co/NOTHkcg7v4,0,0
  Mais uma vez a dualidade de critérios. Ricardo Costa muito mais rápido a denunciar as identidades dos  do que os a _,0,0
  A cada dia que passa cresce aindamais os adeptos à Marcha do Orgulho Hétero!!!  Pelos poucos héteros que restam!!,0,1
Muito bem! Se concordo com as iniciativas (mesmo dos adversários!) não tenho problema em congratular-me.  https://t.co/U5SMprcmzl,0,0
"Vim trabalhar com uma camiseta da minha namorada hoje, tô me sentindo bem sapatão",0,0
 Marlon Brando né... Mas o segundo tbm é muito foda!,0,0
esse tal de golpe aí é que nem o racismo tá nos olhos de quem vê,1,0
A era em que 'homens' começam a usar cor de rosa https://t.co/3Cfl9aoHmO,1,0
  O presidente a ser o presidente https://t.co/o3NexsMyIs,0,0
  Namoradas que hoje não queiram sexo em vez da desculpa da dor de cabeça vestem uma camisola do Ederson. Não entra nada.,1,1
" nao esqueça que ele quer receber refugiados de guerra, vai islamizar o brasil",1,1
Saudades exército de fufas revoltadas com esta sociedade machista e CIS a atacarem as pessoas,1,1
  Sem nexo é gente que queimou sutiã no passado atualmente não ter coragem de queimar um burca porque a esquerda não permite!!! _,0,0
Vale a pena leitura. https://t.co/cmuerEbfVw,0,0
"'ah mas artista tal eh gorda, ela eh feia. tem tanto dinheiro e n melhora' TE FODE GAROTA NÃO EH PQ ELA EH FAMOSA Q ELA TEM Q SER PERFEITA",1,1
"Ontem, com representantes da #FLECFAC: o dirigente #CarlosPuna (ao meio). O #PNR apoia a causa dos cabindas, traído _ https://t.co/6AFTtXT0kB",0,0
Saímos no Correio da Manhã. Mas só porque as notícias humorísticas sobre o Carrilho já não estavam a bater #Humor https://t.co/41rGkEK8OC,0,0
  Quem falou em erros velhos? Eu disse que preferia evitá-los.  Não quero o caminho errado que andamos a levar. Há mal nisso?,0,0
  Os democratas... gente 'tolerante' que não sabe aceitar a mudança que se está a operar.,0,0
"Pela primeira vez esta época, um jogador do Porto foi expulso! Aposto que este árbitro não treina na Maia, nem tem talhos em Guimarães...",0,1
"Tá doendo simmm, tá doendo em mimmmmm... NAMORADA DE FELIPE MELO- http://www.youtube.com/watch?v=AjV6YjREKqM",0,0
Parabéns! Ser a favor da VIDA é um valor básico e inegociável de qualquer pessoa DO BEM! https://t.co/jJGeM1rAIC,0,0
 vai um homem falar o recíproco!!!,0,0
o video era um sapatao tocando siririca https://t.co/b824kaMh0A,1,1
eu sofro preconceito por ser da igreja evangélica mas ngm liga ne aí jogam pedra no macumbero e é 'ooooh mds que triste',1,0
Feliz dia das mulheres que vieram na embalagem certa! https://t.co/hl3A1wmiXz,0,0
"  Muito normal. Melhor mostrar a plena realidade a criança. Porque ninguém escolhe ser homossexual. Não acontece a todos , _",0,1
GENTE POR FAVOR o preconceito está na sua cabeça,0,0
  Eu sou protetor de animais e  sou totalmente contra zoofilia! Sexo com animais é nojento e criminoso! não compartilhem ess _,1,1
"Feia ou bonita, gorda ou magra, seja como for, mulher nasceu para ser respeitada!",0,0
já falei que não sou racista porra mas...,0,1
"  Capitalismo não liga pra ninguém, mas ele liberta as pessoas. Ter oportunidade de negociar é que é a verdadeira liberda _",0,0
 quer defender os amigos BANDIDOS e CORRUPTOS do partido. Como podemos aceitar isso sem ficar P da v _ https://t.co/4uh8VS30YN,1,1
"#TrolandocomHumornegro. Vamos tirar a página do Silas Mala Cheia do Facebook? Se e minha sai, a dele tb vai sair. http://t.co/QwYFoWjp",0,0
Porra!!! Que programa racista esse #Esquenta !!! Só tem negros! Não tem um dedicado a loiras!!!!! Sou discriminada!!!!!,0,1
  Dizer que a 'hegemonia tem os dias contados'? Então não se pode prever o fim de um ciclo?  Que patéticos...,0,1
"Oi pessoal, aqui é a Marisa Lobo , preciso de sua ajuda para  assinar o meu canal no YouTube! Preciso de pelo... https://t.co/TXKbkjdbei",0,0
Aviões C-130 equipados com kits de combate aos fogos foram descontinuados por decisão política em finais dos anos 90 https://t.co/BPxDgMASGg,0,0
Imagine esse aqui vivendo num regime comunista  https://t.co/l8vMavRt0v,0,1
"  Daniela Mercury parou de tocar quando seu bloco passou pela Polícia Militar. Obrigado, ouvido de PM não é pinico.",1,1
"'Diz produtora IRANIANA'. Não pode ser séria essa notícia...  Certeza q p essa mulher, jogar um Boeing contra um p _ https://t.co/TOy463lsYd",0,0
'Idade não representa maturidade'  Diga isso numa creche...,0,0
 se foi no RJ o moleque é um herói,0,0
  Por ex obras em angola vieram ou nao do BNDES? Quero entender     htt _,0,0
Uma coisa que MUITO homem hétero não sabe: a maioria das mulheres não goza apenas com penetração.,0,1
Humm... não sei se entendi... Quer 'respeito' mas não se dá ao respeito? É o que dá o efeito dos fumos.  https://t.co/fTeVFHpSn5,0,0
"  Quantos robôs da Pepper precisaram para as tags pró-PT, enquanto o povão honesto e trabalhador meteu um #BolsonaroPreside _",0,0
" n falo com fufas, adeus",1,1
Pra quem perdeu o documentário #EuVocêTodasNós ao vivo no  NÃO SE CHATEIE! Tá disponível aqui >> VEJA https://t.co/RAQAC6GOws,0,0
"Ué, como o Lula poderia estar entusiasmado num encontro horas depois da MOE DE TEORI? Sobe mais ainda a teoria de _ https://t.co/4NLV1FoGr2",0,0
  Amei esse  Tão provando como essa onda do politicamente correto é a maior farsa inventada nos últimos _,0,0
"  Acolher refugiados loirinhos não tá na moda, não dá ibope pra ninguém. Mas se forem LGBT...",1,1
"  Ensinar mal as crianças. Se uma pessoa é homossexual ou não, para mim é indiferente. Sou somente contra propaganda e dra _",0,1
 vão mandar todo mundo para Venezuela,0,1
DOMINGÃO É CERVEJÃO CHURRASCÃO FAUSTÃO ORAÇÃO MASTURBAÇÃO E DEPRESSÃO #JOAQUINRESPONDE https://t.co/PBG4dPILD0,1,0
"  o meu mundo é bem real, já o seu parece conto de fadas, já que a vida de negro é bem mais fácil.",1,1
  Só o Celso Daniel sabe o que é tortura. https://t.co/K6ubWP3HMY,0,0
"  Polícia militar acaba de dar tiro de pistola pra cima. Ninguém me contou, eu vi. https://t.co/ogbg21NlQ3",0,0
 está assim tanto vento?!,0,0
Agendas dias 18 e 19 de Março em #Campinas/SP. Simpósio de Ideologia De Genero e Cultos familiar.,0,0
  to com muito ódio nesse coraçãozinho,0,0
  Coisas que eu tenho que ler no dia da mulher Excluído pq não tenho paciência pra uma pessoa tão burra https://t.co/rgoplvF1Xz,1,1
Vamo invadir essa Hilux ae https://t.co/ef9ibPFrI1,0,0
 Lavagem cerebral. A mente do ser humano é de quem chega primeiro: DEUS ALTÍSSIMO VERDADEIRO ou o DIABO.O #ISLÃO é satanico,0,0
#QuartaDetremuraSDV Mas Deus foi tao bom cmg. Pq hj ela ta mó gorda e feia.,1,1
meu irmão claramente não entende o privilégio do homem branco hétero cis,1,1
 Volta para a tua terra,1,1
  DEPUTADAS DA BANCADA 'FEMINISTA' TIRAM PROVEITO DO DIA INTERNACIONAL DAS MULHERES... https://t.co/nGVSWtlDtW,0,0
" Uma galera que se reuniu contra o governo intransigente de  Vargas. Oficialmente min 800 pssoas morreram, cidades bombardeadas",0,0
A organizadora da Marcha Da Mulher nos EUA é a favor da implantação da SHARIA no país. E tem ligação com o Hamas. https://t.co/TmsrozubxG,0,1
  'Não vou discutir com Nizer nem Hater' Camila tem voz feia Lauren gorda Normani feia Ally n sabe dançar GoSolo Eu: https _,1,0
ACEITE OS CHIFRES #JoaquinResponde https://t.co/2wOKNG11RS,0,0
"ESQUECI DE FAZER O CADASTRO DA SARAIVA P GANHAR  DESCONTO, SOU A MULHER MAIS BURRA DO BRASIL",0,1
agora tudo faz sentido https://t.co/gAkF8IbNea,0,0
    o bom de xingar a falecida é que tô chamando de ruim feia e gorda ao mesmo tempo,1,1
O #ColégioDomPedroII chegou ao fim do poço.Vejam o cartaz colocado na unidade do centro no RJ. _ https://t.co/MJIuXGcT92,0,0
"Você é cheinha, NÃO é gostosa. Ponto. https://t.co/Dd1TcPSfye",1,0
"  Nem todo trans é estuprador mas existem, sim Não vamos deixar as meninas com homens no banheiras sozinhas https://t.co _",1,0
Kd as suvaqueiras peludas essas horas??? https://t.co/tbK7HJl3Vv,1,0
  Nesse Dia das Mulheres pegue essas flores e coloque no túmulo das mulheres que foram assassinadas por seus companheiros #NãoQ _,0,0
"  Retweeted MARISA LOBO ( Comece seu apoio a este cinema que rejeitou #BelaEAFera , compartilhando e... h _",0,0
Me divertindo muito enquanto hospedo o Primeiro Ministro Shinzo Abe nos Estados Unidos! https://t.co/7yfRnjbAqU _ https://t.co/YwL0C0Y3hU,0,0
Acho q a menina do restaurante da frente é sapatão kkkkkk fica me olhando,0,1
"Sen. Richard Blumenthal, que nunca lutou no Vietnã, e disse por anos que sim (grande mentira) agr distorce o que o _ https://t.co/ytHckJ8rNt",1,0
  não sei '-' só completei a música... Rs,0,0
   a OAB é tão machista que acha que mulher não pode ser machista também!,1,0
 Vi a DM Pssoa! Tudo certim..,0,0
"e nem precisa ser macho pra postar/pensar dessa forma, tem muita mulher assim também *ache a burra*",1,0
Eu não mereço ser estuprada no banheiro feminino por uma mulher trans lésbica!  NÃO a ideologia de gênero,1,1
 cedemos ao encanto e caímos de boca meu caro!,0,0
Bene Barbosa dá uma surra no pres. dos Direitos Humanos da OAB-SP em deb... https://t.co/HxT8P4VH66 via ,0,0
"E  tentou fazer do fracassado protesto de imigrantes um sucesso, enqto  'esqueceu' dos protesto anti-desarmamento ontem.",0,0
"Os bilhetes para a Figueira, Faro, Lisboa, Porto e Évora já estão à venda nos sítios do costume #OverdoseDeTourette https://t.co/ELEbFhVQI0",0,0
  Calhau com olhos ;) :),1,0
"Qlqr pesquisa negativa é notícia falsa, como da CNN, ABC e NBC nas eleições. Desculpa, o povo quer segurança nas fr _ https://t.co/OGluzXPHbE",0,0
"  Quem aplaude a decisão da justiça que condenou Levy Fidelix por homofobia, não entende nada sobre ditadura e muito menos sobr _",1,1
Cristãos maltratam gays e mimimi       _ https://t.co/OmRQhp8bI8,0,1
Presidente dos dragões voltou a mostrar o seu descontentamento | Invicta de Azul e Branco https://t.co/oPLyuP1b4z,0,0
eu devo ter jogado um angry birds na cruz pra merecer isso,0,0
  Você vai ajudar a fazer com que essa CENA se REPITA no dia 26 de Março? Dê um ENTUSIASMADO . #26deMarcoEuVou https://t.co/ _,0,0
"Excelente pergunta! Cidade abandonada!! Centro completamente dominado por camelôs, agentes da CET Rio sumiram do tr _ https://t.co/z66lz9CSD8",0,0
 Não liberou a burca ?? Que absurdo !!,1,0
a solução para o racismo é PARAR DE FALAR SOBRE ELE foi o morgan freeman q disse,0,0
"Pra  , 'crimes não violentos' deveria dar vaga num Spa. https://t.co/w93mmNl6AS",1,0
  Chegamos aos 120 mil amigos no meu primeiro programa sem gravata e só com mulheres. Bem-vindos e vamos em frente! Por _,0,0
"#DigaNaoAIdeologiaDeGenero Para as feministas de gênero, diferente é desigual, e desigual é injusto. Ignorando as... https://t.co/Ko598p8kvt",1,0
"liechtenstein tem tudo de bom: monarquia, não aceitou os refugiados, identidade nacional e frio https://t.co/0bmoZ15Ry9",1,0
Deixou o Dia da Mulher passar em branco e agora não sabe como presentear? Veja as nossas dicas de presente ideal... https://t.co/BJxRar0yxT,0,0
  e olha pra cara gorda e feia de Isabelle .. sem contar da voz irritante dela https://t.co/3PfOO1yeRf,1,1
Globo mostrando que homem nai vale nada mesmo e mulher é burra iludida,1,0
existem dois tipos de casais https://t.co/ozTrbrTyJY,0,0
" NUsssss, magavilha, heinnn. MAssa esse promo!",0,0
"Bolsomito Kiridinha: 'Eu mesmo não acredito que isso ainda ocorra', disse o deputado sobre a desigualdade salarial entre homens e mulheres.",0,0
  Descobrimos que o Rui Cruz chora com filmes românticos...  #ccallstars https://t.co/2MgtIbHZSP,0,0
"cara, ao invés de clamar pelo Criador que tal refutar o que falei com fatos, lógica e verdades! https://t.co/TQBB1eJPII",0,0
Bom diaaa!!! (@ Linha 1304 C Branco X Lapa) https://t.co/XxYFGJpnrs,0,0
"  Rostinho bonito envelhece, maquiagem sai com água, pele bonita enruga, cabelo lindo fica branco, corpo lindo cai, mas _",0,0
Dia da mulher eh dia de eu me irritar c hipocrisia e gente burra q não entende o real sentido desse dia,1,0
Uma cena lésbica entre Letícia Lima e Camila Queiroz Fica a sugestão aí,0,0
  Tem mais uma mensagem aí muito linda - Relações inter-raciais...tá na hora das crianças aprenderem que amor não é definid _,0,0
"  em vez de punir um cara por falar isso em rede nacional, seria melhor punir todos os agressores, não concorda?",0,0
   Reinaldo Azevedo morreu quando mandou Sergio Moro ir 'catar coquinho'. https://t.co/BZvFDjFGtL,0,0
Uma #MulherDeVerdade pode usar silicone. Mas usará seu cérebro em primeiro lugar.,1,0
Não quer morrer cedo ? -não consuma drogas - não leve drogas para as Filipinas -Não entre por engano em favela dominada pelo tráfico,0,0
Abismo da desigualdade e injustiça.  https://t.co/rbVSxVDliB#PNR #RenovarPortugal #Portugal,0,0
Ricky Martin!!!!! Demorou tanto tempo assim pra assumir pq? Tava dando a bunda? É? Não se reprima caralho! Literalmente pra vc....,1,0
#TrolandocomHumorNegro está de volta com uma edição que ninguem pode perder. Quem quer trolar o pastor + ladrão do Brasil? ,0,0
"Mulher esperta sabe ter um homem na palma da mão , mulher burra apenas acha que tem mais na vdd não tem nada",1,1
"  Deus tá vendo essa turma que reclamava da boçalidade dos petistas e agora relincha que Trump é 'Hitler', 'Dilma' e sugere _",0,1
"mulher esperta fica rica, mulher burra fica pobre rsrs",1,1
"Mas é óbvio , acha que o Partido dá CORRUPÇÃO não iria dar um 'jeitinho?' https://t.co/5eAL2klSr2",1,0
 o Senhor é um homem Branco e rico!!Qual o problema disso??,0,0
  Não existe extrema esquerda pra Globo  Só extrema direita,1,1
As fufas do benfas ganhavam sp kkk https://t.co/N0AyyOhO9D,1,1
  feliz dia do capitalismo galera,0,1
Transposição do Rio São Francisco. Uma obra de merda que custou bilhões e enriqueceu empreiteiros petistas. https://t.co/LiqpsfwOux,1,1
Aborto é crime repugnante contra uma vida tão frágil e indefesa. https://t.co/rswGU7YS2H,0,0
- votei no crivella pq o freixo vai acabar com as milícias  - mas bandido bom não é bandido morto? https://t.co/CzVILFRu2d,0,1
Nada me move contra um homossexual. Conheço alguns. Sejam livres. Mas é anti-natura e a sua promoção é aberrante! https://t.co/MFGezMkmVQ,0,1
  Cebolinha é PSOL https://t.co/GU7cPKA4LI,0,0
"Mas como #espiritosantocaos ?? A iluminação pública das ruas não resolveu a situação??? Soltar pombinhas tb não?? E agora,  ??",0,0
"  ,  feia se achando bela, gorda se achando gostosa. Meus olhos sangram !!",1,1
"As supostas revoltas nas cidades natais de alguns republicanos são na verdade, em muitos casos, premeditadas por at _ https://t.co/Pc6isOllYp",0,0
  Grande espetáculo ontem do  Se antes já era fã dele agora sou ainda mais. Vale mesmo a pena ir ver este s _,0,0
Feliz dia das mulheres  certamente a principal voz feminina na TV,0,0
"Uma #MulherDeVerdade acredita no amor, mas não vira refém dele.",0,0
Ainda bem q ontem a FIFA n atribuiu o prémio 'fair-play' à Chapecoense. Temos de parar de premiar equipas cujos jogadores se atiram p o chão,0,0
  O Abortoduto: https://t.co/4uHj85wUcu #HojeAoVivo #PadrePauloRicardo #Urgente #AbortoNão,0,0
"  Para especialistas, a rotulação reforça preconceitos e limita as escolhas profissionais do futuro. https://t.co/cWsOxabHpB",0,0
"A NASA ACHOU MAIS 7 PLANETAS  E VOCÊ AI, QUE NÃO CONSEGUE ACHAR UM SÓ EMPREGO",1,0
