query,label
O balanço divulgado pela Polícia Militar revelou que ao menos uma mulher foi agredida a cada quatro minutos no... https://t.co/SuVbgUQPId,0
'oi lembra de mim?' 'eu nao lembro nem o que eu comi ontem rsrs' 'voce me comeu ontem',0
 Boa noite esquisitinha legal... rsrs zzzzzzzzzz bjuu zzzzzzz,0
"122 prisioneiros extremamente cruéis, libertados de Gitmo pelo governo Obama voltaram pro campo de batalha. Só mais _ https://t.co/Af4IUr5LNZ",0
Angola é um drama e não uma comédia...,1
Feliz #DiaInternacionalDaMulher pra quem possui o cromossomo XX,1
"  tem problema não, pode pegar qq outra crítica pra colocar ali no lugar do prosa livre q da no mesmo.",0
  Feminismo:  -defende TODAS as pautas da esquerda. -é só a esquerda perder que faz protesto -nunca protest _ https://t.co/ZqhyWCJKOd,1
É legal pra um presidente 'grampear' uma corrida presidencial antes de uma eleição? Negado pelos tribunais hoje mai _ https://t.co/UUHy8AMFcr,0
  a prova maior de que o feminismo é lixo é a ausencia de textao delas pro islä que cobre as mulheres da cabeça aos pès e _,1
"  Num mundo com tanta dor,violência e injustiça, me orgulho por ter um marido e tantos amigos talentosos q se esforçam p f _",0
"Ministro do Ensino Superior de Angola, foi exonerado (fonte não revelavél).",0
"  tentando intender a idiota do face q  compartilhou a ideia dessa trouxa aff como q da mulher burra na vida,nem deve sabe _",1
#EscolaSemPartido.  Só não vê quem é ESQUERDOPATA.. https://t.co/reUZ58586t,1
  Noruega: refugiados não aceitam apartamentos populares não; exigem casas! https://t.co/5DFEpAP5NG,1
"Oieeee, amoresss! Tô mtooo emocionadaaaa! MINHA SOBRINHA LINDAAA NASCEUUU! Parabéns Kilma e Lipe. Mano, te amo! Bem vinda, Karol! #renovacao",0
  Sou ou sou um bom cunhado?,0
 me senti segura nesse dia  https://t.co/UzcdIOTIYc,0
"coitado né gente, ninguém liga pra ele os americanos de classe média alta precisam de atenção!!!!!!",0
 tens razão concordo totalmente acho que dos 0 aos 5 os putos estão preocupados em saber as cores os números e não tipos de,0
  as fufas usam sempre o msm argumento 'como mais cona que tu',1
Meu Deus !!!Que procuradora sem noção. A justiça no Brasil é um lixo mesmo.Quem nomeia esses idiotas? https://t.co/lLdK49UyZg,1
A culpa é das estrelas vermelhas https://t.co/5R8Thlv1b8,0
" São refugiados e eles podem tem o direito de não aceita-los, mesmo eu sendo contra essa ação da Hungria.",0
ai tem muito preto no bbb nem vo assistir kkk,1
 sai do facebook vc morreu,0
AO90: crime e traição à nossa identidade. O #PNR sempre foi contra. Há que desobedecer a tal estupidez!  https://t.co/7wsyJFC1FL,1
" Uma galera que se reuniu contra o governo intransigente de  Vargas. Oficialmente min 800 pssoas morreram, cidades bombardeadas",0
"Uma #MulherDeVerdade gosta de agradar e dar carinho ao parceiro, mas não faz NADA  apenas pelo outro, ou que a desagrade.",0
'Eles que praticam o Islao',1
A cidade de Viseu já está preparada para nos receber na 5a feira. Despachem-se a garantir a vossa presença. Vai ser _ https://t.co/dPMZ8ppmrP,0
"  Mulher que apanha de homem e ainda assim continua com ele é burra!! Att: Não perguntei nada, é burra e acabou",1
"  A maior forma de racismo está nos defensores do multi-culturalismo que não respeitam os povos, a diversidade humana e nem _",0
 para pessoas desconhecidas e que vc não sabe qual a índole. A ideia de abrigar TODOS refugiados é a mesma coisa,1
fábio esta na minha frente e parece uma sapatão masculina,1
BOA TARDE MOÇADA QUALÉ A BOA DO SABADÃO? BEBEDERA ESTUDAR CHURRASCO TRABALHAR ARMAS DE FOGO IGREJA PROSTITUTAS 16:00 LINENSE X NOVORIZONTINO,0
"Comigo na  isto seria impensável. Islão, aqui não! Pela Identidade: Portugal e os Portugueses primeir _ https://t.co/2nPO2gy7a3",1
"não é questão de 'razão pra ser feminista', é questão que o feminismo não é direito de mulher nada, só serve p/ coo _ https://t.co/wTYtMwyoU4",1
"~ Ai, fiz 1 piada sexista e machista mas não sou nada disso, vc que é burra e não tem senso de humor ~ FELIZ DIA DA MULHER",1
mundo perfeito coxinha: temer até 2018 eleições bolsomito presidente,1
 nunca se sabe. Imagina que lhe sai o Euromilhões e decide dividir com os filhos? Eu só não queria que ele tivesse problemas...,0
 é muito branco se doendo porque não tem capacidade e joga a culpa nas cotas.,1
"Caindo na Real: Feminista 'descobrindo' o  feminismo Confuso, não Emma?  Feminazi tá cagando pra liberdade, querem _ https://t.co/PYPG25jlEb",0
"90% dos pais não sabem que suas crianças e adolescentes assistem youtuber gay teen doutrinando os filhos (Luba, etc _ https://t.co/0TLTgw71Sy",1
"ESSAS FÃS DE FITFI HARMONY CAMILA CABELLO SÃO TUDO RETARDADA PAI AUSENTE, E FICAM SE ESFREGANDO A PERERÉQUINHA PRA APARECER, TÁ NA MODA #PAZ",1
Discurso de Pedro Godinho | 10 de Junho https://t.co/uNUg2iwZh1#RenovarPortugal #PNR #Portugal,0
"Companheiros, desconfiai sempre de malta que se indigna com a escassez de courgettes!...",0
hahahahaha  não quase não tem  hahahahaha https://t.co/ETuW4nec1V,0
"'No livro best-seller do New York Times “Má-feminista:  ensaios provocativos de uma ativista desastrosa”,... https://t.co/ZJiFNueXf5",0
"  Autoridade Tributária, Banco de Portugal, isto está a ficar giro, finalmente começam a perceber-se todas as trapaças dos galifõ _",0
ESTAR ACORDADO SÁBADO DE MANHÃ ISSO QUE SEPARA NÓS (POVO HONESTO E TRABALHADOR) DELES (VAGABUNDOS DROGADOS E CORRUPTOS) BOM DIA BRASIL #PAZ,1
"Minha migas do curso de dizem heteras,são casas mas são mais Sapatao do que eu",1
  A minha casa não aceita refugiados aka Mónica,1
  teresa: quero ir ao quintal toda a gente excepto eu: *ignores* teresa: é um sitio de fufas toda a gente: BORA!1!!!!,1
"A bazófia de Jesus é tão grande que, para não assumir os seus erros, até abafa o Palhinha!...",1
"Também em #Machico, na Ilha da #Madeira, o #PNR está presente nas autárquicas pela primeira vez. Força _ https://t.co/ExI4LnWXqZ",0
Os 'média' são um pilar do sistema que combatemos. Deles só se podemos esperar mentira e/ou omissão. #Fakenews _ https://t.co/Q6BaDIUZlG,0
" rezando eles são lindos..o problema é quando tão explodindo torres, boates e embaixadas",1
" Vc é gente, cara! rsrs, brigada lindona desastrada do meu S2",0
"Perfeito! Parabéns, Trump! https://t.co/612VZsRkFE",0
"“Apropriação de culturas árabes: não é moda, é pacto narcísico” by  https://t.co/HL8dkqPrym",0
"Fisco deixou sair 10 mil milhões p/ offshores sem qq controlo, mas se o meu pai transferir p/ mim 5 mil o Banco de Portugal é logo alertado!",1
Pedro não aguentou ver uma carne diferente da Angola e já foi molhando o perú kkkk coitada da helô,0
"as pessoas não entendem que no meio dos 'refugiados' tem inúmeros terroristas, é uma coisa tão óbvia",1
"Porque normalmente as fufas e os paneleiros são com... —_ Pára de criar estereótipos, isso é horrível https://t.co/E59rr5vJOh",1
"Totalitários, cobardes-queixinhas! Nojento  vive dos nossos impostos e é racista anti-nacional e branco. https://t.co/QQ1JXNk5uJ",1
"'Ao longo de sua história tem defendido o estado democrático de direito' mas só para o lado esquerdista. OAB - SP, _ https://t.co/mI4oaqbieg",1
"Entenderam porque essa PRESIDENTA deveria ser CASSADA????Vivíamos no conto do vigário. A mentirosa compulsiva,... https://t.co/TtjTxqbjR3",1
" ela ta te zoando. ela não liga. acho bom denunciar, mas ninguém sabe direito quem ela é.",0
"  Conselho: Mulher sábia, constrói. Mulher burra, destrói.",0
'Ritxar Bacete afirma que não há mudança porque os homens não estão interessados em igualdade' https://t.co/Ot6O8rAJlx via ,0
É imperioso acabar com o terrorismo incendiário e com as negociatas à volta dos incêndios!  https://t.co/RHfbNQBXRQhttps://t.co/ivv2gB42oI,0
Kkkkkkkkkkkkkkkkkkkkkkkk que mulher burra pqp,1
PARA O PESSOAL QUE NÃO CONHECE MUITO O FUTEBOL EUROPEU: CITI X MÔNACO SERIA UMA ESPÉCIE DE MARÍLIA X OESTE AQUI NO BRASIL #CasaDaChampions,1
"   Isso se chama inveja, deve que ninguém quer comer esse cu sujo dela, por isso fica dando palpite na vida _",1
"É, POR QUÊ?      Vc me deixou..! pq??",0
"  vi na página de um gay,ñ estou generalizando,quero dizer q gays não morrem pelo simples fato de ser gay apenas",1
Manda pro seu amigo franguinha - http://bigassmessage.com/2fef80ca9,1
 Vale MUITO a pena.. Tenho 02 DVDs incríveis. Se morasse em Sp faria-te uma cópia. #thecorrs,0
"Mesmo a pedidos, me recuso falar do BBB!  não entra em programinha pra ganhar milhão. A gente ganha na batalha do dia a dia!",0
"-Levy Fidelix , cu de homem trans e cis,de gay,de mulher trans e cis,de lésbica,de náo-binário,fluído, etc, reproduz? -Não -Absolvido!",1
"- 'Ain o Dória está indo bem nesse últimos 2 meses,se ele candidatar para presidente pelo PSDB em 2018 votaria nele _ https://t.co/0Y3fFPk7Bm",0
Quem lembra dessa entrevista? https://t.co/Ay8HdvXe4U,0
 quando vacila assume rapidamente a responsabilidade e paga o erro com humor!,0
#DiaDaMulher  8 de Março Feliz dia das mulheres que odeiam o feminismo!,1
"Eu tinha tanta coisa pra twittar hoje aqui, que acabei me esquecendo...",0
temer lixo humano,1
"Minha filha de 14 anos está sofrendo bullying. Sofre desde os 8 anos. Pq tem cabelo de preto, pq é gorda, pq é feia... Pessoas, parem.",0
"  'jihyo é feia' 'jihyo é gorda' porra queria eu ser feia e gorda que nem a jihyo, pfff",1
"Não Tanto Quanto Você Militante  Defensora De Ditaduras Em Angola, Cuba e Venezuela e Defensora Da _ https://t.co/oaPM8Qw14h",0
"Homem branco hétero cisgênero, me oprimindo durante Protesto pela Revogação do Estatuto do Desarmamento.. _ https://t.co/FWeyMFDQWb",1
POR QUE SÓ TEM GLOBELEZA MULATA ISSO SIM É PRECONCEITO BRANCA NÃO SABE SAMBAR NÃO É ISSO ?????????????,1
"NA MINHA ÉPOCA NÃO TINHA REDE SOCIAL, PROBLEMATIZAÇÃO, IUTUBERS... A GENTE JOGAVA BOLA, FAZIA SEXO, TRABALHAVA... _ https://t.co/Ga0f0bIBmv",0
"Vou ver se tem curso pra aprender a ser burra porque olha, tá difícil aturar essa raça que tem medo de mulher que sabe pensar. sifudê.",1
"meu pai veio me perguntar por que mulher é tão burra pra ter filho nova (adolescentes e tal), dei minha opinião e agora ele ta brabo comigo",1
    isso e racismo pos anoes pretos fufas gays e shemales simao,1
 ter tempo pra cuidar da família é 'o grande problema' pra mulher ou pra qq pessoa que trabalha E tem filhos?,0
porque é que todas as fufas qd são mais novas dizem ser 'bi'?,1
nunca vou conseguir emagrecer vou ser sempre essa gorda feia e fracassada,1
"Eu sou demasiado tudo. Demasiado alta, demasiado gorda, demasiado feia, demasiado paciente, demasiado sentimental, puta que pariu.",1
"Burra é a mulher que aceita ser amante, pois valoriza um traidor, ajuda a destruir uma família e nunca terá moral de ser a única.",1
Meus Deus!! É muita doutrinação e alienação que a imprensa impõe na coitadinha!!! https://t.co/2Ti1GN6dau,0
"Devem estar invertidos esses dados. Aqui arma é proibido, lá q é liberado e só tem louco. https://t.co/C8BzVbCix1",0
"  Um péssimo dia para a mídia/imprensa que não noticiaram nada, simplesmente manipularam, torceram e retorceram cada fat _",0
"  Com todo respeito... no dia que sair uma criança pelo mesmo lugar de onde saem as fezes dos humanos, o Levy Fidelix pod _",1
   a OAB é tão machista que acha que mulher não pode ser machista também!,1
 Se o cara é extremista e tira foto com bolsonaro..isso nao faz o fotografado se tornar nazista.,0
"COMO VOTEI PSDC 27 EYMAEL, O DEMOCRATA CRISTÃO, (ZERO CITAÇÕES NA LAVA JATO) ESTOU COM A CONSCIÊNCIA TRANQUILA. SOU UM EXEMPLO DE DIGNIDADE.",0
"  O que o  está fazendo com Bolsonaro é um crime, um abuso d autoridade, politicagem barata, suja, está na cara q _",1
Mensagem de Natal do Presidente   #PNR #RenovarPortugal #Natal https://t.co/AzJtMk1NQL,0
Agora é só umas gordas feias pra caralho,1
" não quero, assim eu seria a feia e gorda do casal",0
"o atentado em orlando nao tem nada a ver com os discursos preconceituosos do trump e do bolsonaro, a culpa é do estado islâmico!!!!",1
"Segundo Ricciardi, a diferença entre o BES e o Sporting é que, neste último, só há Banco Mau... https://t.co/8VLLu5hN76",0
"  eu tinha esquecido, não tenho cachorro. .... Kkk",0
"Escudo acabou há 15 anos mas, p/ garantir uma boa regulação do sist bancário, o Banco Portugal optou por manter os quase 2 mil funcionários",0
  Vcs fufas são bue abusadas,1
"  defeitos do movimento feminista -> apoioar o aborto, drogas, escola sem partido, marcha das vadias, agenda esquerda",1
 vdd... nem conheci mas já dei block....  pessoa assim quero longe,0
"   A corresp. de NY, do SBT, não disse o nome de Obama, quando falou da espionagem da CIA. Se fosse no gov. de Trum _",1
  menina voce ta doida de apoiar a legalizacao do aborto??,0
"...Aliás, uma #MulherDeVerdade se despe de qualquer preconceito. E vive!",0
 estou preparada já https://t.co/R5iTupPnzo,0
O cara promove e celebra o ASSASSINATO DE BEBÊS INDEFESOS NO VENTRE DA MÃE. Não existe grau maior de podridão. SE _ https://t.co/OSy9Bwcj6L,0
" eu to falando dos refugiados da Síria, eles nao vem pra ca, tem um milhao de abrigos em outros paises que acolhe eles",0
A minha casa não aceita refugiados aka Mónica,1
  O jornalismo é um só. Deve se comprometer com a verdade. Com o relevante. Com o útil. Deve servir o povo + que poltcs.,0
reclama que o temer é corrupto mas na hora de votar na dilma com ele de vice nem ligou né?,0
  Chegamos aos 120 mil amigos no meu primeiro programa sem gravata e só com mulheres. Bem-vindos e vamos em frente! Por _,0
   jornal esse que é feito com folha de bananeira,1
"  Já fomos grandes e respeitados, e podemos voltar a sê-lo. Renovar Portugal, não é uma missão, é uma OBRIGAÇÃO Juntos vamo _",0
Bom dia só pras sapatão,1
O movimento 'Vai ter gorda na praia sim' parece que funcionou. https://t.co/kmwq2k20e6,1
"Tem dias que eu vou mais sapatao do que as próprias sapatao, como hoje",1
"PORRA, MAS E O TAL AQUECIMENTO GLOBAL???!!? https://t.co/JKT51kiWfF",0
  não acompanha time de meninas!,1
jr q ñ th paciência p dramas d fufas,1
Aquela campainha q se ouve nos directos da Assembleia d República serve para nos recordar que aquilo não passa de um dispendioso infantário.,1
"Tô gorda e n consigo emagrecer, certeza q minha gastrite tá piorando pq só passo mal, n tenho inglês fluente, n sei nadar, sou feia +",0
Não se iludam: um dia isto chegará Portugal. Só votando #PNR se vai evitar esta invasão.   https://t.co/HyjExlPhM3,1
"  Nada justifica uma agressão a homossexuais,e homossexuais se matam entre si por ponto de droga,crimes passionais",0
 Tão mas tu és burra ou que ?Não percebeste o q eu disse? Tu és UMA MULHER ! É o teu dia ! Mas eu n stou a flr d nscr mulher,0
Q viadagem de romantismo. Ele tava comendo ela de ladinho https://t.co/bBhrnSMJ6E,1
"Não usa roupa cor-de-rosa, nem roxo.",0
Evitar carne de ganso (quizila de Oxum) Não comer carne de pombo ou galinha d'angola Não ter dentro de casa penas de pavão pq tiram a sorte,0
"Porra, que lixo, que idiotas... o mundo está à deriva... https://t.co/TFnnrQlqzj",1
Trump sanciona lei que desfaz regulamentação do minério de carvão criada por Obama' https://t.co/koIqOf4dFChttps://t.co/jztntgJdZQ,0
" ué, mana, se tu tiver falando de mulher trans, saiba que elas são mulheres. Cuidado com a burra.",1
 lhe desejando um óptimo final de semana pensar não dói,0
"Os portugueses devem muito a Passos Coelho por ter tido a coragem de dizer NÃO a Salgado. 'NÃO stresses, Ricardo, leva o guito pró Panamá.'",1
Quem foi que disse secretamente ao presidente russo 'Diga a Vladimir que após as eleições eu terei mais flexibilida _ https://t.co/CGb57CIT4v,0
UMA MOÇA ACIMA DO PESO SE APROVEITOU DO MEU AVANÇADO ESTADO DE EMBRIAGUEZ E ME AGARROU. VOU NA DELEGACIA PRESTAR QUEIXA. #CarnavalSemAssédio,1
Pq n manda os refugiados pro inferno em vez de mandar pra europa???São tudo muçulmano mesmo....,1
 eu pensei o mesmo....,0
  Não são a favor da eutanásia mas apoiam o livro do Cavaco silva,1
   Manifestação em frente à #FCSH. Em causa está o cancelamento da conferência de Nogueira Pinto na universidade https://t _,0
Tá calor? Chama a bombeira https://t.co/fDmAaLMedO,0
Olha o processinho na pistoleira https://t.co/xBgiow0dcj,1
"PESSOAL ME CHAMANDO DE 'TRANSFÓBICO' RISOS TRABALHEI 22 ANOS EM UMA TRANSPOADORA, COMO VOU TER FOBIA DE TRANSPOES? INVENTEM OUTRA. #PAZ",0
Q mulher burra essa dá série,1
"Qnd as feministas vierem me ofender, não vou nem rebater, só vou dar .",0
Acho mó engraçado o galero que tenta chamar atenção fznd piadinha burra sobre o dia da mulher,0
  Não justo! Não podemos arcar com tamanho sacrifício. Que cortem ou reduzam o assistencialismo! https://t.co/Rzi4xm00mL,0
"A mãe do nóia disse que quer justiça Fácil, prende ela",1
"1) No Brasil tem muito assassinato não porque tem muita arma, mas porque tem muito bandido. #Desarmamento",1
Ver 1 mulher com 1 olho negro é das coisas que mais me revolta. Nunca sei se é 1 ex do Carrilho ou 1 gótica a passar dificuldades económicas,1
contra fatos não há argumentos https://t.co/4FU37ZiRCz,1
 só matando miga,1
"  #meuamigosecreto  diz que eu sou legal mas pediu pra ficar comigo e eu disse não,agora ele diz q eu sou vagabunda",0
" Puts,o  não é gay... Legal a gente ver que as aparências enganam e não fazem a MENOR diferença. #namoradalinda",1
"  Dória diz que é esquerda aqui, admira o adorador da maconha FHC https://t.co/dCt2XtFV7Q",1
Pra esquerda (vagabundo) é assim: 'pegar' 40 mil reais de um trabalhador que ralou pra comprar aquilo é não fazer n _ https://t.co/WEQZ7unGSj,1
  Deixei minha redação do enem em branco pois quem sou eu pra falar sobre feminismo,1
"aos mariquinhas que passam o dia twittando, eu voltei.",1
"Oi, amores...        Vcs num tem noção da correriaaaa Aff Xeru",0
  isto realmente eh uma grande rede de fufas,1
"cara, ao invés de clamar pelo Criador que tal refutar o que falei com fatos, lógica e verdades! https://t.co/TQBB1eJPII",0
